	B_floridae_protein	C_milii_protein	D_rerio_protein	G_gallus_protein	H_sapiens_protein	M_mulatta_protein	M_musculus_protein	P_troglogytes_protein
B_floridae_protein	0.0	11455.0	12335.0	10557.0	11104.0	11160.0	11207.0	11166.0
C_milii_protein	15588.0	0.0	21778.0	21274.0	21993.0	21880.0	21795.0	21791.0
D_rerio_protein	23120.0	30663.0	0.0	29725.0	31463.0	31119.0	31070.0	31113.0
G_gallus_protein	25451.0	37618.0	36909.0	0.0	40211.0	39787.0	39643.0	39895.0
H_sapiens_protein	52662.0	73909.0	73181.0	76133.0	0.0	83920.0	87182.0	85156.0
M_mulatta_protein	33468.0	46509.0	46546.0	47970.0	56469.0	0.0	55613.0	56160.0
M_musculus_protein	39867.0	56291.0	55869.0	58395.0	69423.0	67600.0	0.0	67118.0
P_troglogytes_protein	38780.0	54257.0	53803.0	56004.0	65896.0	63246.0	63928.0	0.0
