	B_floridae_protein	C_milii_protein	D_rerio_protein	G_gallus_protein	H_sapiens_protein	M_mulatta_protein	M_musculus_protein	P_troglogytes_protein
B_floridae_protein	9932	7555	7760	7286	7837	7803	7804	7795
C_milii_protein	7555	13150	11359	11133	11750	11704	11670	11699
D_rerio_protein	7760	11359	15487	11215	12022	11936	11938	11930
G_gallus_protein	7286	11133	11215	13674	12446	12360	12309	12369
H_sapiens_protein	7837	11750	12022	12446	20127	17266	15975	18213
M_mulatta_protein	7803	11704	11936	12360	17266	18215	15604	17356
M_musculus_protein	7804	11670	11938	12309	15975	15604	17491	15628
P_troglogytes_protein	7795	11699	11930	12369	18213	17356	15628	19255
