	B_floridae_protein	C_milii_protein	D_rerio_protein	G_gallus_protein	H_sapiens_protein	M_mulatta_protein	M_musculus_protein	P_troglogytes_protein
B_floridae_protein	0.0	2895.0	2555.0	1830.0	837.0	1537.0	1111.0	1402.0
C_milii_protein	9080.0	0.0	4719.0	3418.0	1605.0	2563.0	2074.0	2106.0
D_rerio_protein	16014.0	14709.0	0.0	7416.0	3705.0	5437.0	4544.0	4781.0
G_gallus_protein	18803.0	17543.0	10532.0	0.0	3944.0	5988.0	4841.0	5217.0
H_sapiens_protein	43015.0	42057.0	26909.0	22484.0	0.0	27215.0	16319.0	30540.0
M_mulatta_protein	26369.0	24516.0	15675.0	12831.0	9472.0	0.0	8824.0	10966.0
M_musculus_protein	31427.0	30438.0	18176.0	16215.0	10431.0	14431.0	0.0	12600.0
P_troglogytes_protein	31157.0	29437.0	18507.0	15330.0	13133.0	14878.0	10615.0	0.0
