	B_floridae_protein	C_milii_protein	D_rerio_protein	G_gallus_protein	H_sapiens_protein	M_mulatta_protein	M_musculus_protein	P_troglogytes_protein
B_floridae_protein	0.0	3821.0	2913.0	2473.0	1227.0	1770.0	1748.0	1536.0
C_milii_protein	3821.0	0.0	4329.0	3956.0	2235.0	3118.0	2881.0	2818.0
D_rerio_protein	2913.0	4329.0	0.0	3033.0	1804.0	2402.0	2316.0	2190.0
G_gallus_protein	2473.0	3956.0	3033.0	0.0	2303.0	2991.0	2769.0	2781.0
H_sapiens_protein	1227.0	2235.0	1804.0	2303.0	0.0	11320.0	4617.0	19458.0
M_mulatta_protein	1770.0	3118.0	2402.0	2991.0	11320.0	0.0	5047.0	13323.0
M_musculus_protein	1748.0	2881.0	2316.0	2769.0	4617.0	5047.0	0.0	4798.0
P_troglogytes_protein	1536.0	2818.0	2190.0	2781.0	19458.0	13323.0	4798.0	0.0
